Producto,Rol,Modulo,Seccion,En_Menu,Ver,Crear,Editar,Eliminar,Aprobar,Exportar,Configurar,Virtual,Diferido
XISTI,aprobaciones,pending-delivery-person-list,"Repartidores pendientes",1,1,0,0,0,1,0,0,0,0
XISTI,aprobaciones,pending-provider-list,"Proveedores pendientes (legacy)",0,0,0,0,0,0,0,0,1,0
XISTI,aprobaciones,pending-transport-provider-list,"Conductores pendientes",1,1,0,0,0,1,0,0,0,0
XISTI,aprobaciones,promotions,Promociones,0,0,0,0,0,0,0,0,0,1
XISTI,aprobaciones,push-notification,"Notificaciones push",0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,referral-history,Referidos,0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,report-issue,"Reportar problema",0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,ride-list,Viajes,0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,search-radius,"Radio de búsqueda",0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,security,Seguridad,0,0,0,0,0,0,0,0,1,0
XISTI,aprobaciones,service-settings,"Configuración de servicio",0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,site-setting,"Configuración del sitio",0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,sos-list,SOS,0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,support-page-list,"Páginas de soporte",0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,transport-providers-list,"Conductores (aprobados)",1,1,0,0,0,1,0,0,0,0
XISTI,aprobaciones,vehicle-commission-rates,"Comisiones por vehículo",0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,vehicle-services,"Servicios de vehículo",0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,vehicle-type,"Tipos de vehículo",0,0,0,0,0,0,0,0,0,0
XISTI,aprobaciones,world-currency-list,Monedas,0,0,0,0,0,0,0,0,0,0
XISTI,soporte,api-keys,"API keys",0,0,0,0,0,0,0,0,1,0
XISTI,soporte,app-version-setting,"Versión de la app",0,0,0,0,0,0,0,0,0,0
XISTI,soporte,audit-logs,Auditoría,0,0,0,0,0,0,0,0,1,0
XISTI,soporte,cash-out-list,"Retiros (cash-out)",0,0,0,0,0,0,0,0,0,0
XISTI,soporte,coupon-deals,"Cupones / deals",0,0,0,0,0,0,0,0,0,1
XISTI,soporte,customer-list,Clientes,1,1,1,1,0,0,0,0,0,0
XISTI,soporte,dashboard,Dashboard,0,1,1,1,0,0,0,0,1,0
XISTI,soporte,driver-documents,"Documentos requeridos",0,0,0,0,0,0,0,0,0,0
XISTI,soporte,drivers-moderation,"Moderación de conductores",0,0,0,0,0,0,0,0,0,0
XISTI,soporte,earning-report,"Reporte de ganancias",0,0,0,0,0,0,0,0,0,0
XISTI,soporte,email-templates,"Plantillas de email",0,0,0,0,0,0,0,0,0,0
XISTI,soporte,geo-fencing-list,Geo-fencing,0,0,0,0,0,0,0,0,0,0
XISTI,soporte,gods-view,"God's View",0,0,0,0,0,0,0,0,0,0
XISTI,soporte,heat-map,"Mapa de calor",0,0,0,0,0,0,0,0,0,0
XISTI,soporte,pending-delivery-person-list,"Repartidores pendientes",0,0,0,0,0,0,0,0,0,0
XISTI,soporte,pending-provider-list,"Proveedores pendientes (legacy)",0,0,0,0,0,0,0,0,1,0
XISTI,soporte,pending-transport-provider-list,"Conductores pendientes",0,0,0,0,0,0,0,0,0,0
XISTI,soporte,promotions,Promociones,0,0,0,0,0,0,0,0,0,1
XISTI,soporte,push-notification,"Notificaciones push",1,1,1,1,0,0,0,0,0,0
XISTI,soporte,referral-history,Referidos,0,0,0,0,0,0,0,0,0,0
XISTI,soporte,report-issue,"Reportar problema",1,1,1,1,0,0,0,0,0,0
XISTI,soporte,ride-list,Viajes,1,1,1,1,0,0,0,0,0,0
XISTI,soporte,search-radius,"Radio de búsqueda",0,0,0,0,0,0,0,0,0,0
XISTI,soporte,security,Seguridad,0,0,0,0,0,0,0,0,1,0
XISTI,soporte,service-settings,"Configuración de servicio",0,0,0,0,0,0,0,0,0,0
XISTI,soporte,site-setting,"Configuración del sitio",0,0,0,0,0,0,0,0,0,0
XISTI,soporte,sos-list,SOS,1,1,1,1,0,0,0,0,0,0
XISTI,soporte,support-page-list,"Páginas de soporte",1,1,1,1,0,0,0,0,0,0
XISTI,soporte,transport-providers-list,"Conductores (aprobados)",1,1,1,1,0,0,0,0,0,0
XISTI,soporte,vehicle-commission-rates,"Comisiones por vehículo",0,0,0,0,0,0,0,0,0,0
XISTI,soporte,vehicle-services,"Servicios de vehículo",0,0,0,0,0,0,0,0,0,0
XISTI,soporte,vehicle-type,"Tipos de vehículo",0,0,0,0,0,0,0,0,0,0
XISTI,soporte,world-currency-list,Monedas,0,0,0,0,0,0,0,0,0,0
XISTI,marketing,api-keys,"API keys",0,0,0,0,0,0,0,0,1,0
XISTI,marketing,app-version-setting,"Versión de la app",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,audit-logs,Auditoría,0,0,0,0,0,0,0,0,1,0
XISTI,marketing,cash-out-list,"Retiros (cash-out)",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,coupon-deals,"Cupones / deals",1,1,1,1,0,0,0,0,0,1
XISTI,marketing,customer-list,Clientes,0,0,0,0,0,0,0,0,0,0
XISTI,marketing,dashboard,Dashboard,0,1,1,1,0,0,0,0,1,0
XISTI,marketing,driver-documents,"Documentos requeridos",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,drivers-moderation,"Moderación de conductores",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,earning-report,"Reporte de ganancias",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,email-templates,"Plantillas de email",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,geo-fencing-list,Geo-fencing,0,0,0,0,0,0,0,0,0,0
XISTI,marketing,gods-view,"God's View",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,heat-map,"Mapa de calor",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,pending-delivery-person-list,"Repartidores pendientes",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,pending-provider-list,"Proveedores pendientes (legacy)",0,0,0,0,0,0,0,0,1,0
XISTI,marketing,pending-transport-provider-list,"Conductores pendientes",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,promotions,Promociones,1,1,1,1,0,0,0,0,0,1
XISTI,marketing,push-notification,"Notificaciones push",1,1,1,1,0,0,0,0,0,0
XISTI,marketing,referral-history,Referidos,1,1,1,1,0,0,0,0,0,0
XISTI,marketing,report-issue,"Reportar problema",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,ride-list,Viajes,0,0,0,0,0,0,0,0,0,0
XISTI,marketing,search-radius,"Radio de búsqueda",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,security,Seguridad,0,0,0,0,0,0,0,0,1,0
XISTI,marketing,service-settings,"Configuración de servicio",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,site-setting,"Configuración del sitio",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,sos-list,SOS,0,0,0,0,0,0,0,0,0,0
XISTI,marketing,support-page-list,"Páginas de soporte",1,1,1,1,0,0,0,0,0,0
XISTI,marketing,transport-providers-list,"Conductores (aprobados)",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,vehicle-commission-rates,"Comisiones por vehículo",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,vehicle-services,"Servicios de vehículo",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,vehicle-type,"Tipos de vehículo",0,0,0,0,0,0,0,0,0,0
XISTI,marketing,world-currency-list,Monedas,0,0,0,0,0,0,0,0,0,0
